ISIN/CUSIP,Fund Name,Objective
TRRMX,T Rowe Price Retirement 2050 Fund (TRRMX),The Fund seeks to provide the highest total return over time consistent with an emphasis on both capital growth and income.
PARFX,T Rowe Price Retirement 2050 Fund,The Fund seeks to provide the highest total return over time consistent with an emphasis on both capital growth and income.
TRRNX,T Rowe Price Retirement 2055 Fund (TRRNX),The Fund seeks to provide the highest total return over time consistent with an emphasis on both capital growth and income.
PAROX,T Rowe Price Retirement 2055 Fund,The Fund seeks to provide the highest total return over time consistent with an emphasis on both capital growth and income.
TRRLX,T Rowe Price Retirement 2060 Fund (TRRLX),The Fund seeks the highest total return over time consistent with an emphasis on both capital growth and income. The Fund invests in a diversified portfolio of other T. Rowe Price stock and bond funds that represent various asset classes and sectors. Allocation changes over time in relation to its target retirement date.
TRRYX,T Rowe Price Retirement 2060 Fund,The Fund seeks the highest total return over time consistent with an emphasis on both capital growth and income. The Fund invests in a diversified portfolio of other T. Rowe Price stock and bond funds that represent various asset classes and sectors. Allocation changes over time in relation to its target retirement date.
TRRIX,T Rowe Price Retirement Balanced Fund (TRRIX),The Fund seeks provide the highest total return over time consistent with an emphasis on both capital growth and income.
PARIX,T Rowe Price Retirement Balanced Fund,The Fund seeks provide the highest total return over time consistent with an emphasis on both capital growth and income.
TRPFX,T Rowe Price Retirement I 2005 Fund,The Fund seeks the highest total return over time consistent with an emphasis on both capital growth and income. The Fund invests in a diversified portfolio of other T. Rowe Price stock and bond funds that represent various asset classes and sectors. It is managed based on the specific retirement year (target date 2005).
TRPAX,T Rowe Price Retirement I 2010 Fund,The Fund seeks the highest total return over time consistent with an emphasis on both capital growth and income. The Fund invests in a diversified portfolio of other T. Rowe Price stock and bond funds that represent various asset classes and sectors. It is managed based on the specific retirement year (target date 2010).
TRFGX,T Rowe Price Retirement I 2015 Fund,The Fund seeks the highest total return over time consistent with an emphasis on both capital growth and income. The Fund invests in a diversified portfolio of other T. Rowe Price stock and bond funds that represent various asset classes and sectors. It is managed based on the specific retirement year (target date 2015).
TRBRX,T Rowe Price Retirement I 2020 Fund,The Fund seeks the highest total return over time consistent with an emphasis on both capital growth and income. The Fund invests in a diversified portfolio of other T. Rowe Price stock and bond funds that represent various asset classes and sectors. It is managed based on the specific retirement year (target date 2020).
TRPHX,T Rowe Price Retirement I 2025 Fund,The Fund seeks the highest total return over time consistent with an emphasis on both capital growth and income. The Fund invests in a diversified portfolio of other T. Rowe Price stock and bond funds that represent various asset classes and sectors. It is managed based on the specific retirement year (target date 2025).
TRPCX,T Rowe Price Retirement I 2030 Fund,The Fund seeks the highest total return over time consistent with an emphasis on both capital growth and income. The Fund invests in a diversified portfolio of other T. Rowe Price stock and bond funds that represent various asset classes and sectors. It is managed based on the specific retirement year (target date 2030).
TRPJX,T Rowe Price Retirement I 2035 Fund,The Fund seeks the highest total return over time consistent with an emphasis on both capital growth and income. The Fund invests in a diversified portfolio of other T. Rowe Price stock and bond funds that represent various asset classes and sectors. It is managed based on the specific retirement year (target date 2035).
TRPDX,T Rowe Price Retirement I 2040 Fund,The Fund seeks the highest total return over time consistent with an emphasis on both capital growth and income. The Fund invests in a diversified portfolio of other T. Rowe Price stock and bond funds that represent various asset classes and sectors. It is managed based on the specific retirement year (target date 2040).
TRPKX,T Rowe Price Retirement I 2045 Fund,The Fund seeks the highest total return over time consistent with an emphasis on both capital growth and income. The Fund invests in a diversified portfolio of other T. Rowe Price stock and bond funds that represent various asset classes and sectors. It is managed based on the specific retirement year (target date 2045).
TRPMX,T Rowe Price Retirement I 2050 Fund,The Fund seeks the highest total return over time consistent with an emphasis on both capital growth and income. The Fund invests in a diversified portfolio of other T. Rowe Price stock and bond funds that represent various asset classes and sectors. It is managed based on the specific retirement year (target date 2050).
TRPNX,T Rowe Price Retirement I 2055 Fund,The Fund seeks the highest total return over time consistent with an emphasis on both capital growth and income. The Fund invests in a diversified portfolio of other T. Rowe Price stock and bond funds that represent various asset classes and sectors. It is managed based on the specific retirement year (target date 2055).
TRPLX,T Rowe Price Retirement I 2060 Fund,The Fund seeks the highest total return over time consistent with an emphasis on both capital growth and income. The Fund invests in a diversified portfolio of other T. Rowe Price stock and bond funds that represent various asset classes and sectors. It is managed based on the specific retirement year (target date 2060).
